Activity_key_selector,english,kannada,hindi
Greet_Header_Main,Hello $1! 😃,ಹಲೋ $1! 😃,हैलो $1! 😃
Greet_Content_Main,"I am Karna, Your bot assistant from Namma Yatri. I can help you with booking rides, view past rides, and much more!

Choose one of the options below for me to assist you.","ನಾನು ಕರ್ಣ, ನಮ್ಮ ಯಾತ್ರಿಯಿಂದ ನಿಮ್ಮ ಬಾಟ್ ಸಹಾಯಕ. ಬುಕಿಂಗ್ ಸವಾರಿಗಳು, ಹಿಂದಿನ ಸವಾರಿಗಳನ್ನು ವೀಕ್ಷಿಸಲು ಮತ್ತು ಇನ್ನೂ ಹೆಚ್ಚಿನದನ್ನು ನಾನು ನಿಮಗೆ ಸಹಾಯ ಮಾಡಬಹುದು!
ನಿಮಗೆ ಸಹಾಯ ಮಾಡಲು ನನಗೆ ಕೆಳಗಿನ ಆಯ್ಕೆಗಳಲ್ಲಿ ಒಂದನ್ನು ಆರಿಸಿ.","मैं कर्ण हूँ, नम्मा यत्री से आपका बॉट सहायक। मैं आपको बुकिंग की सवारी में मदद कर सकता हूं, अतीत की सवारी देख सकता हूं, और बहुत कुछ!

आपकी सहायता के लिए मेरे लिए नीचे दिए गए विकल्पों में से एक चुनें।"
Greet_Content_Options_Main_Book_Ride,Book A Ride ,ಸವಾರಿ ಕಾಯ್ದಿರಿಸಿ,एक सवारी बुक करें
Greet_Content_Options_Main_ViewPastRide,View Past Rides ,ಹಿಂದಿನ ಸವಾರಿಗಳನ್ನು ವೀಕ್ಷಿಸಿ,अतीत की सवारी देखें
Greet_Content_Options_Main_More,More,ಇನ್ನಷ್ಟು,अन्य
Greet_Header_Other,Sure,ಖಚಿತ,ज़रूर
Greet_Content_Other,Choose one of the options below for me to assist you.,ನಿಮಗೆ ಸಹಾಯ ಮಾಡಲು ನನಗೆ ಕೆಳಗಿನ ಆಯ್ಕೆಗಳಲ್ಲಿ ಒಂದನ್ನು ಆರಿಸಿ.,आपकी सहायता के लिए मेरे लिए नीचे दिए गए विकल्पों में से एक चुनें।
Greet_Content_Options_Other_fav_place_header,Manage Favourite Places,ನೆಚ್ಚಿನ ಸ್ಥಳಗಳನ್ನು ನಿರ್ವಹಿಸಿ,पसंदीदा स्थानों का प्रबंधन करें
Greet_Content_Options_Other_fav_place_description,Add or delete your favourite places,ನಿಮ್ಮ ನೆಚ್ಚಿನ ಸ್ಥಳಗಳನ್ನು ಸೇರಿಸಿ ಅಥವಾ ಅಳಿಸಿ,अपने पसंदीदा स्थानों को जोड़ें या हटाएं
Greet_Content_Options_Other_change_lang_header,Change Language,ಭಾಷೆ ಬದಲಾಯಿಸಿ,भाषा बदलें
Greet_Content_Options_Other_change_lang_desc,Update bot conversation language,ಬಾಟ್ ಸಂಭಾಷಣೆ ಭಾಷೆಯನ್ನು ನವೀಕರಿಸಿ,अद्यतन बॉट वार्तालाप भाषा
Greet_Content_Options_Other_support_header,Help and Support,ಸಹಾಯ ಮತ್ತು ಬೆಂಬಲ,सहायता और समर्थन
Greet_Content_Options_Other_support_desc,Raise support ticket or talk to an agent,ಬೆಂಬಲ ಟಿಕೆಟ್ ದೂರು ದಾಖಲಾತಿ ಅಥವಾ ಏಜೆಂಟರೊಂದಿಗೆ ಮಾತನಾಡಿ,समर्थन टिकट उठाएं या एक एजेंट से बात करें
Greet_Content_Options_Other_feedback_header,Give A Feedback.,ಸಲಹೆಯನ್ನು ಒದಗಿಸಿ,एक प्रतिक्रिया दें।
Greet_Content_Options_Other_feedback_desc,Provide your feedback about namma yatri,ನಮ್ಮ ಯಾತ್ರಿ ಕುರಿತು ನಿಮ್ಮ ಪ್ರತಿಕ್ರಿಯೆ ಮತ್ತು ಸಲಹೆಯನ್ನು ನೀಡಿ,नम्मा यात्री के बारे में अपनी प्रतिक्रिया और सुझाव दें
Greet_Content_Options_Other_know_more_header,Know More,ಇನ್ನಷ್ಟು ತಿಳಿಯಿರಿ,अधिक जानते हैं
